Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,3.667,0,0.01443053118
1,3.667,0.01554404145,0.01443053118
2,3.521,0.0310880829,0.0138559859
3,3.6,0.04663212435,0.01416686999
4,3.667,0.0621761658,0.01443053118
5,3.667,0.07772020725,0.01443053118
6,3.667,0.0932642487,0.01443053118
7,3.959,0.1088082902,0.01557962174
8,4,0.1243523316,0.01574096665
9,4,0.1398963731,0.01574096665
10,4,0.1554404145,0.01574096665
11,4.34,0.170984456,0.01707894882
12,4.667,0.1865284974,0.01836577284
13,5.008,0.2020725389,0.01970769025
14,5.414,0.2176165803,0.02130539836
15,4.667,0.2331606218,0.01836577284
16,4.667,0.2487046632,0.01836577284
17,4.667,0.2642487047,0.01836577284
18,4.667,0.2797927461,0.01836577284
19,5.474,0.2953367876,0.02154151286
20,5.128,0.310880829,0.02017991925
21,5.014,0.3264248705,0.0197313017
22,5.192,0.3419689119,0.02043177472
23,5.331,0.3575129534,0.02097877331
24,5.333,0.3730569948,0.02098664379
25,5.566,0.3886010363,0.0219035551
26,5.971,0.4041450777,0.02349732797
27,6.301,0.4196891192,0.02479595772
28,6.915,0.4352331606,0.0272121961
29,6.652,0.4507772021,0.02617722754
30,6.899,0.4663212435,0.02714923223
31,7,0.481865285,0.02754669164
32,7,0.4974093264,0.02754669164
33,6.95,0.5129533679,0.02734992956
34,7.553,0.5284974093,0.02972288028
35,9.337,0.5440414508,0.03674335141
36,11.516,0.5595854922,0.04531824299
37,12.865,0.5751295337,0.050626884
38,14.489,0.5906735751,0.05701771646
39,15.09,0.6062176166,0.0593827967
40,16.89,0.621761658,0.06646623169
41,16.543,0.6373056995,0.06510070283
42,16.305,0.6528497409,0.06416411532
43,15.84,0.6683937824,0.06233422794
44,15.096,0.6839378238,0.05940640815
45,13.942,0.6994818653,0.05486513927
46,13.254,0.7150259067,0.052157693
47,12.97,0.7305699482,0.05104008437
48,12.187,0.7461139896,0.04795879015
49,11.416,0.7616580311,0.04492471883
50,11.278,0.7772020725,0.04438165548
51,11.007,0.792746114,0.04331520499
52,10.959,0.8082901554,0.04312631339
53,11,0.8238341969,0.0432876583
54,11,0.8393782383,0.0432876583
55,10.426,0.8549222798,0.04102882958
56,10,0.8704663212,0.03935241663
57,10,0.8860103627,0.03935241663
58,10.047,0.9015544041,0.03953737299
59,10.212,0.9170984456,0.04018668786
60,9.898,0.932642487,0.03895102198
61,9.333,0.9481865285,0.03672761044
62,9.658,0.9637305699,0.03800656398
63,9.811,0.9792746114,0.03860865596
64,9.89,0.9948186528,0.03891954005
65,11.177,1.010362694,0.04398419607
66,12.553,1.025906736,0.0493990886
67,14.265,1.041450777,0.05613622233
68,15.263,1.056994819,0.06006359351
69,15.961,1.07253886,0.06281039219
70,15.901,1.088082902,0.06257427769
71,15.152,1.103626943,0.05962678168
72,14.279,1.119170984,0.05619131571
73,12.138,1.134715026,0.04776596331
74,11.112,1.150259067,0.04372840536
75,11.446,1.165803109,0.04504277608
76,11.789,1.18134715,0.04639256397
77,12.723,1.196891192,0.05006807968
78,15.431,1.212435233,0.0607247141
79,20.944,1.227979275,0.08241970139
80,26.368,1.243523316,0.1037644522
81,30.093,1.259067358,0.1184232274
82,33.216,1.274611399,0.1307129871
83,34.718,1.29015544,0.1366237201
84,36.776,1.305699482,0.1447224474
85,39.47,1.321243523,0.1553239884
86,33.169,1.336787565,0.1305280307
87,28.696,1.352331606,0.1129256948
88,22.918,1.367875648,0.09018786844
89,19.271,1.383419689,0.07583604209
90,19.711,1.398963731,0.07756754842
91,19.487,1.414507772,0.07668605429
92,19.236,1.430051813,0.07569830863
93,22.545,1.445595855,0.0887200233
94,30.099,1.461139896,0.1184468388
95,35.331,1.476683938,0.1390360232
96,38.403,1.492227979,0.1511250856
97,45.279,1.507772021,0.1781838073
98,49.45,1.523316062,0.1945977002
99,51.691,1.538860104,0.2034165768
100,49.151,1.554404145,0.193421063
101,42.194,1.569948187,0.1660435867
102,36.473,1.585492228,0.1435300692
103,31.616,1.601036269,0.1244166004
104,28.061,1.616580311,0.1104268163
105,24.357,1.632124352,0.09585068119
106,21.286,1.647668394,0.08376555404
107,34.855,1.663212435,0.1371628482
108,45.498,1.678756477,0.1790456252
109,58.782,1.694300518,0.2313213754
110,75.967,1.70984456,0.2989485034
111,83.705,1.725388601,0.3293994034
112,86.544,1.740932642,0.3405715545
113,87.606,1.756476684,0.3447507811
114,82.358,1.772020725,0.3240986329
115,79.979,1.787564767,0.314736693
116,75.065,1.803108808,0.2953989154
117,58.378,1.81865285,0.2297315378
118,45.422,1.834196891,0.1787465468
119,36.979,1.849740933,0.1455213015
120,47.869,1.865284974,0.1883760832
121,68.583,1.880829016,0.269890679
122,81.113,1.896373057,0.319199257
123,96.377,1.911917098,0.3792667858
124,104.66,1.92746114,0.4118623925
125,104.526,1.943005181,0.4113350701
126,115.6,1.958549223,0.4549139363
127,107.671,1.974093264,0.4237114051
128,129.2,1.989637306,0.5084332229
129,134.206,2.005181347,0.5281330427
130,118.546,2.020725389,0.4665071582
131,101.184,2.03626943,0.3981834924
132,93.259,2.051813472,0.3669967023
133,99.599,2.067357513,0.3919461344
134,95.55,2.082901554,0.3760123409
135,101.449,2.098445596,0.3992263315
136,134.064,2.113989637,0.5275742383
137,169.938,2.129533679,0.6687470978
138,171.939,2.14507772,0.6766215163
139,190.707,2.160621762,0.7504781319
140,210.753,2.176165803,0.8293639862
141,230.536,2.191709845,0.9072148721
142,243.151,2.207253886,0.9568579456
143,250.67,2.222797927,0.9864470277
144,252.848,2.238341969,0.9950179841
145,253.316,2.25388601,0.9968596772
146,253.952,2.269430052,0.9993624909
147,254.114,2.284974093,1
148,254.102,2.300518135,0.9999527771
149,254,2.316062176,0.9995513825
150,254,2.331606218,0.9995513825
151,254,2.347150259,0.9995513825
152,254,2.362694301,0.9995513825
153,254,2.378238342,0.9995513825
154,254,2.393782383,0.9995513825
155,254,2.409326425,0.9995513825
156,254,2.424870466,0.9995513825
157,253.685,2.440414508,0.9983117813
158,253.091,2.455958549,0.9959742478
159,253.024,2.471502591,0.9957105866
160,253.389,2.487046632,0.9971469498
161,250.238,2.502590674,0.9847470033
162,244.778,2.518134715,0.9632605838
163,235.824,2.533678756,0.92802443
164,222.2,2.549222798,0.8744106976
165,204.895,2.564766839,0.8063113406
166,185.38,2.580310881,0.7295150995
167,167.742,2.595854922,0.6601053071
168,145.564,2.611398964,0.5728295175
169,117.742,2.626943005,0.4633432239
170,97.308,2.642487047,0.3829304958
171,94.508,2.658031088,0.3719118191
