Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,5,0,0.01964983985
1,5.673,0.01554404145,0.0222947083
2,5.68,0.0310880829,0.02232221807
3,6.647,0.04663212435,0.0261224971
4,5.623,0.0621761658,0.0220982099
5,4.967,0.07772020725,0.01952015091
6,3.68,0.0932642487,0.01446228213
7,3.682,0.1088082902,0.01447014207
8,3.649,0.1243523316,0.01434045313
9,3.647,0.1398963731,0.01433259319
10,3.645,0.1554404145,0.01432473325
11,3.691,0.170984456,0.01450551178
12,3.823,0.1865284974,0.01502426755
13,3.949,0.2020725389,0.01551944352
14,4.152,0.2176165803,0.01631722701
15,4.163,0.2331606218,0.01636045666
16,4.173,0.2487046632,0.01639975634
17,4.074,0.2642487047,0.01601068951
18,3.411,0.2797927461,0.01340512075
19,3.375,0.2953367876,0.0132636419
20,3.377,0.310880829,0.01327150184
21,3.091,0.3264248705,0.012147531
22,3.667,0.3419689119,0.01441119255
23,3.667,0.3575129534,0.01441119255
24,3.615,0.3730569948,0.01420683421
25,3.612,0.3886010363,0.01419504431
26,4.441,0.4041450777,0.01745298776
27,4.55,0.4196891192,0.01788135427
28,4.727,0.4352331606,0.0185769586
29,4.73,0.4507772021,0.0185887485
30,5.39,0.4663212435,0.02118252736
31,5.936,0.481865285,0.02332828987
32,5.152,0.4974093264,0.02024719499
33,5.953,0.5129533679,0.02339509933
34,6.221,0.5284974093,0.02444833075
35,6.485,0.5440414508,0.02548584229
36,7,0.5595854922,0.0275097758
37,7,0.5751295337,0.0275097758
38,7.082,0.5906735751,0.02783203317
39,6.746,0.6062176166,0.02651156393
40,7.173,0.621761658,0.02818966025
41,8.044,0.6373056995,0.03161266236
42,10.85,0.6528497409,0.04264015248
43,14.506,0.6683937824,0.05700811538
44,18.906,0.6839378238,0.07429997446
45,23.114,0.6994818653,0.09083727968
46,26.63,0.7150259067,0.1046550471
47,26.352,0.7305699482,0.103562516
48,26.937,0.7461139896,0.1058615472
49,28.169,0.7616580311,0.1107032678
50,28.734,0.7772020725,0.1129236997
51,26.548,0.792746114,0.1043327897
52,21.127,0.8082901554,0.08302843332
53,17.931,0.8238341969,0.07046825568
54,13.171,0.8393782383,0.05176160814
55,11.073,0.8549222798,0.04351653534
56,8.759,0.8704663212,0.03442258946
57,8.15,0.8860103627,0.03202923896
58,10.006,0.9015544041,0.03932325952
59,12.64,0.9170984456,0.04967479515
60,15.577,0.932642487,0.06121711108
61,17.989,0.9481865285,0.07069619383
62,20.36,0.9637305699,0.08001414788
63,21.885,0.9792746114,0.08600734904
64,21.525,0.9948186528,0.08459256057
65,18.691,1.010362694,0.07345503134
66,15.715,1.025906736,0.06175944666
67,12.393,1.041450777,0.04870409306
68,8.846,1.056994819,0.03476449667
69,7.761,1.07253886,0.03050048142
70,6.304,1.088082902,0.02477451809
71,5.128,1.103626943,0.02015287575
72,4,1.119170984,0.01571987188
73,3.667,1.134715026,0.01441119255
74,3.84,1.150259067,0.01509107701
75,4.35,1.165803109,0.01709536067
76,5.172,1.18134715,0.02032579434
77,5.667,1.196891192,0.02227112849
78,8,1.212435233,0.03143974377
79,8.676,1.227979275,0.03409640211
80,11,1.243523316,0.04322964768
81,13.491,1.259067358,0.05301919789
82,14.644,1.274611399,0.05755045096
83,15.407,1.29015544,0.06054901653
84,15.089,1.305699482,0.05929928671
85,15.341,1.321243523,0.06028963864
86,16.215,1.336787565,0.06372443065
87,13.912,1.352331606,0.05467371441
88,12.094,1.367875648,0.04752903264
89,12.228,1.383419689,0.04805564835
90,14.333,1.398963731,0.05632823092
91,17.986,1.414507772,0.07068440392
92,22.661,1.430051813,0.08905700419
93,26.341,1.445595855,0.1035192863
94,31.39,1.461139896,0.1233616946
95,37.932,1.476683938,0.1490715451
96,46.374,1.492227979,0.1822483347
97,48.571,1.507772021,0.1908824743
98,51.107,1.523316062,0.2008488731
99,52.083,1.538860104,0.2046845218
100,45.488,1.554404145,0.1787663831
101,39.455,1.569948187,0.1550568863
102,26.561,1.585492228,0.1043838793
103,22.443,1.601036269,0.08820027117
104,17.461,1.616580311,0.06862117074
105,14.366,1.632124352,0.05645791987
106,13.609,1.647668394,0.05348293411
107,14.16,1.663212435,0.05564834647
108,15.207,1.678756477,0.05976302293
109,15.836,1.694300518,0.06223497278
110,14.669,1.70984456,0.05764870016
111,14.592,1.725388601,0.05734609263
112,13.305,1.740932642,0.05228822385
113,12.558,1.756476684,0.04935253778
114,11.569,1.772020725,0.04546579945
115,10.748,1.787564767,0.04223929575
116,9.918,1.803108808,0.03897742233
117,9.761,1.81865285,0.03836041736
118,9.535,1.834196891,0.0374722446
119,9.731,1.849740933,0.03824251832
120,8.78,1.865284974,0.03450511878
121,9.071,1.880829016,0.03564873946
122,10,1.896373057,0.03929967971
123,11.333,1.911917098,0.04453832701
124,13.527,1.92746114,0.05316067674
125,17.249,1.943005181,0.06778801753
126,29.046,1.958549223,0.1141498497
127,46.985,1.974093264,0.1846495451
128,54.499,1.989637306,0.2141793244
129,55.621,2.005181347,0.2185887485
130,63.309,2.020725389,0.2488023423
131,73.347,2.03626943,0.2882513608
132,75.007,2.051813472,0.2947751076
133,72.28,2.067357513,0.2840580849
134,76.758,2.082901554,0.3016564815
135,65.325,2.098445596,0.2567251577
136,61.628,2.113989637,0.2421960661
137,47.099,2.129533679,0.1850975615
138,30.795,2.14507772,0.1210233637
139,25.256,2.160621762,0.09925527107
140,32.602,2.176165803,0.1281248158
141,57.615,2.191709845,0.2264251046
142,69.308,2.207253886,0.2723782201
143,80.464,2.222797927,0.3162209428
144,82.291,2.238341969,0.3234009943
145,83.534,2.25388601,0.3282859445
146,91.916,2.269430052,0.361226936
147,96.205,2.284974093,0.3780825686
148,95.838,2.300518135,0.3766402704
149,90.43,2.316062176,0.3553870036
150,78.171,2.331606218,0.3072095262
151,69.75,2.347150259,0.274115266
152,52.686,2.362694301,0.2070542925
153,32.003,2.378238342,0.125770765
154,18.338,2.393782383,0.07206775265
155,14.702,2.409326425,0.05777838911
156,18.015,2.424870466,0.07079837299
157,20.319,2.440414508,0.0798530192
158,21.018,2.455958549,0.08260006681
159,22.333,2.471502591,0.08776797469
160,23.946,2.487046632,0.09410701303
161,21.047,2.502590674,0.08271403588
162,17.702,2.518134715,0.06956829302
163,13.393,2.533678756,0.05263406103
164,10.689,2.549222798,0.04200742764
165,9.382,2.564766839,0.0368709595
166,10.307,2.580310881,0.04050617987
167,11.914,2.595854922,0.0468216384
168,9.938,2.611398964,0.03905602169
169,11,2.626943005,0.04322964768
170,17.157,2.642487047,0.06742646047
171,23.072,2.658031088,0.09067222102
172,36.056,2.67357513,0.1416989252
173,55.832,2.689119171,0.2194179717
174,71.176,2.704663212,0.2797194003
175,88.149,2.720207254,0.3464227467
176,95.518,2.735751295,0.3753826806
177,90.233,2.751295337,0.3546127999
178,105.21,2.766839378,0.4134719302
179,105.995,2.78238342,0.4165569551
180,104.512,2.797927461,0.4107288126
181,95.671,2.813471503,0.3759839657
182,97.612,2.829015544,0.3836120336
183,95.19,2.844559585,0.3740936511
184,85.732,2.860103627,0.3369240141
185,64.791,2.875647668,0.2546265548
186,49,2.89119171,0.1925684306
187,49.838,2.906735751,0.1958617437
188,72.441,2.922279793,0.2846908098
189,94.624,2.937823834,0.3718692893
190,114.531,2.953367876,0.4501031617
191,108.93,2.968911917,0.4280914111
192,122.011,2.984455959,0.4794993221
193,126.667,3,0.497797253
194,111.197,3.015544041,0.4370006484
195,133.455,3.031088083,0.5244738755
196,123.494,3.046632124,0.4853274646
197,117.041,3.062176166,0.4599673813
