Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,9,0,0.03534026788
1,8.977,0.01554404145,0.03524995386
2,8.954,0.0310880829,0.03515963984
3,8.93,0.04663212435,0.03506539913
4,10.209,0.0621761658,0.04008764386
5,10.217,0.07772020725,0.04011905744
6,10.861,0.0932642487,0.04264784994
7,10.837,0.1088082902,0.04255360922
8,11.357,0.1243523316,0.04459549137
9,11.318,0.1398963731,0.04444235021
10,11.024,0.1554404145,0.04328790146
11,11.326,0.170984456,0.04447376378
12,11.481,0.1865284974,0.04508240172
13,11.698,0.2020725389,0.04593449485
14,12,0.2176165803,0.04712035717
15,12.985,0.2331606218,0.05098815316
16,13.543,0.2487046632,0.05317924977
17,13.737,0.2642487047,0.05394102887
18,13.861,0.2797927461,0.05442793923
19,14.147,0.2953367876,0.05555097441
20,14.333,0.310880829,0.05628133995
21,13.333,0.3264248705,0.05235464351
22,12.156,0.3419689119,0.04773292182
23,11.822,0.3575129534,0.04642140521
24,12,0.3730569948,0.04712035717
25,12,0.3886010363,0.04712035717
26,12.931,0.4041450777,0.05077611155
27,12.667,0.4196891192,0.04973946369
28,11.117,0.4352331606,0.04365308422
29,11.109,0.4507772021,0.04362167065
30,10.768,0.4663212435,0.04228266717
31,10,0.481865285,0.03926696431
32,9.009,0.4974093264,0.03537560815
33,8.822,0.5129533679,0.03464131591
34,8.667,0.5284974093,0.03403267797
35,8.938,0.5440414508,0.0350968127
36,7.333,0.5595854922,0.02879446493
37,6.761,0.5751295337,0.02654839457
38,6.667,0.5906735751,0.02617928511
39,6.667,0.6062176166,0.02617928511
40,7.31,0.621761658,0.02870415091
41,7.635,0.6373056995,0.02998032725
42,7.325,0.6528497409,0.02876305136
43,7.333,0.6683937824,0.02879446493
44,5.623,0.6839378238,0.02207981403
45,4.622,0.6994818653,0.0181491909
46,3.667,0.7150259067,0.01439919581
47,3.939,0.7305699482,0.01546725724
48,4.514,0.7461139896,0.01772510769
49,3.241,0.7616580311,0.01272642313
50,3.226,0.7772020725,0.01266752269
51,2.123,0.792746114,0.008336376523
52,2.874,0.8082901554,0.01128532554
53,2.897,0.8238341969,0.01137563956
54,2.175,0.8393782383,0.008540564737
55,2.944,0.8549222798,0.01156019429
56,2.967,0.8704663212,0.01165050831
57,2.99,0.8860103627,0.01174082233
58,3.014,0.9015544041,0.01183506304
59,2.407,0.9170984456,0.009451558309
60,2.404,0.932642487,0.00943977822
61,2.389,0.9481865285,0.009380877774
62,2.667,0.9637305699,0.01047249938
63,2.13,0.9792746114,0.008363863398
64,2.667,0.9948186528,0.01047249938
65,2.327,1.010362694,0.009137422595
66,3.312,1.025906736,0.01300521858
67,3.296,1.041450777,0.01294239144
68,3,1.056994819,0.01178008929
69,3.402,1.07253886,0.01335862126
70,4.626,1.088082902,0.01816489769
71,5.532,1.103626943,0.02172248466
72,5.568,1.119170984,0.02186384573
73,7.289,1.134715026,0.02862169029
74,9.052,1.150259067,0.03554445609
75,10.483,1.165803109,0.04116355869
76,11.078,1.18134715,0.04349994306
77,12.243,1.196891192,0.04807454441
78,12.686,1.212435233,0.04981407092
79,14.556,1.227979275,0.05715699325
80,16.142,1.243523316,0.06338473379
81,17.397,1.259067358,0.06831273781
82,17.748,1.274611399,0.06969100826
83,18.884,1.29015544,0.0741517354
84,19.465,1.305699482,0.07643314603
85,22.667,1.321243523,0.089006428
86,26.658,1.336787565,0.1046778735
87,27.286,1.352331606,0.1071438388
88,23.681,1.367875648,0.09298809818
89,23.711,1.383419689,0.09310589908
90,26.607,1.398963731,0.1044776119
91,30.145,1.414507772,0.1183702639
92,27.439,1.430051813,0.1077446234
93,28.401,1.445595855,0.1115221053
94,31.39,1.461139896,0.123259001
95,33.842,1.476683938,0.1328872606
96,33.826,1.492227979,0.1328244335
97,33.657,1.507772021,0.1321608218
98,32.081,1.523316062,0.1259723482
99,30.77,1.538860104,0.1208244492
100,32.633,1.554404145,0.1281398846
101,34.588,1.569948187,0.1358165762
102,34.404,1.585492228,0.135094064
103,41.869,1.601036269,0.1644068529
104,45.786,1.616580311,0.1797877228
105,42.644,1.632124352,0.1674500426
106,45.282,1.647668394,0.1778086678
107,45.99,1.663212435,0.1805887689
108,40.048,1.678756477,0.1572563387
109,41.354,1.694300518,0.1623846042
110,45.449,1.70984456,0.1784644261
111,43.667,1.725388601,0.1714670531
112,41.272,1.740932642,0.1620626151
113,40.993,1.756476684,0.1609670668
114,38.589,1.772020725,0.1515272886
115,39.663,1.787564767,0.1557445605
116,41.585,1.803108808,0.1632916711
117,38.811,1.81865285,0.1523990152
118,40.953,1.834196891,0.1608099989
119,42.656,1.849740933,0.167497163
120,40.284,1.865284974,0.158183039
121,42.047,1.880829016,0.1651058048
122,42.002,1.896373057,0.1649291035
123,39.623,1.911917098,0.1555874927
124,33.658,1.92746114,0.1321647485
125,40.162,1.943005181,0.1577039821
126,43.581,1.958549223,0.1711293572
127,37.497,1.974093264,0.1472393361
128,28.777,1.989637306,0.1129985432
129,24.7,2.005181347,0.09698940185
130,25.277,2.020725389,0.09925510569
131,30.067,2.03626943,0.1180639816
