Distance_(pixels),Gray_Value,Distance_(cm),Relative_Gray_Value
0,1,0,0.003943015539
1,1.165,0.01554404145,0.004593613103
2,1.331,0.0310880829,0.005248153683
3,1.333,0.04663212435,0.005256039714
4,1.333,0.0621761658,0.005256039714
5,1.333,0.07772020725,0.005256039714
6,1.333,0.0932642487,0.005256039714
7,1.333,0.1088082902,0.005256039714
8,1.333,0.1243523316,0.005256039714
9,1.333,0.1398963731,0.005256039714
10,1.333,0.1554404145,0.005256039714
11,1.333,0.170984456,0.005256039714
12,1.333,0.1865284974,0.005256039714
13,1.333,0.2020725389,0.005256039714
14,1.333,0.2176165803,0.005256039714
15,1.333,0.2331606218,0.005256039714
16,1.333,0.2487046632,0.005256039714
17,1.48,0.2642487047,0.005835662998
18,1.46,0.2797927461,0.005756802688
19,1.333,0.2953367876,0.005256039714
20,1.333,0.310880829,0.005256039714
21,1.333,0.3264248705,0.005256039714
22,1.333,0.3419689119,0.005256039714
23,1.333,0.3575129534,0.005256039714
24,1.333,0.3730569948,0.005256039714
25,1.333,0.3886010363,0.005256039714
26,1.333,0.4041450777,0.005256039714
27,1.485,0.4196891192,0.005855378076
28,1.667,0.4352331606,0.006573006904
29,1.667,0.4507772021,0.006573006904
30,1.667,0.4663212435,0.006573006904
31,1.667,0.481865285,0.006573006904
32,1.667,0.4974093264,0.006573006904
33,1.391,0.5129533679,0.005484734615
34,1.586,0.5284974093,0.006253622646
35,1.667,0.5440414508,0.006573006904
36,1.483,0.5595854922,0.005847492045
37,1,0.5751295337,0.003943015539
38,1,0.5906735751,0.003943015539
39,1,0.6062176166,0.003943015539
40,1,0.621761658,0.003943015539
41,1,0.6373056995,0.003943015539
42,1,0.6528497409,0.003943015539
43,1,0.6683937824,0.003943015539
44,1,0.6839378238,0.003943015539
45,1,0.6994818653,0.003943015539
46,1,0.7150259067,0.003943015539
47,1,0.7305699482,0.003943015539
48,1,0.7461139896,0.003943015539
49,1,0.7616580311,0.003943015539
50,1,0.7772020725,0.003943015539
51,1,0.792746114,0.003943015539
52,1.175,0.8082901554,0.004633043259
53,2,0.8238341969,0.007886031079
54,2,0.8393782383,0.007886031079
55,1.218,0.8549222798,0.004802592927
56,1,0.8704663212,0.003943015539
57,1,0.8860103627,0.003943015539
58,1,0.9015544041,0.003943015539
59,1,0.9170984456,0.003943015539
60,1,0.932642487,0.003943015539
61,1,0.9481865285,0.003943015539
62,1,0.9637305699,0.003943015539
63,1,0.9792746114,0.003943015539
64,1,0.9948186528,0.003943015539
65,1.179,1.010362694,0.004648815321
66,1.51,1.025906736,0.005953953465
67,1.667,1.041450777,0.006573006904
68,1.667,1.056994819,0.006573006904
69,1.667,1.07253886,0.006573006904
70,1.667,1.088082902,0.006573006904
71,1.667,1.103626943,0.006573006904
72,1.667,1.119170984,0.006573006904
73,2.086,1.134715026,0.008225130415
74,2.455,1.150259067,0.009680103149
75,1.667,1.165803109,0.006573006904
76,1.667,1.18134715,0.006573006904
77,1.667,1.196891192,0.006573006904
78,1.454,1.212435233,0.005733144594
79,1.747,1.227979275,0.006888448147
80,1.667,1.243523316,0.006573006904
81,1.737,1.259067358,0.006849017992
82,1.846,1.274611399,0.007278806686
83,1.667,1.29015544,0.006573006904
84,1.667,1.305699482,0.006573006904
85,1.667,1.321243523,0.006573006904
86,1.667,1.336787565,0.006573006904
87,1.667,1.352331606,0.006573006904
88,1.667,1.367875648,0.006573006904
89,1.667,1.383419689,0.006573006904
90,1.667,1.398963731,0.006573006904
91,1.556,1.414507772,0.006135332179
92,1.633,1.430051813,0.006438944376
93,1.667,1.445595855,0.006573006904
94,1.667,1.461139896,0.006573006904
95,1.667,1.476683938,0.006573006904
96,1.667,1.492227979,0.006573006904
97,1.564,1.507772021,0.006166876304
98,1.233,1.523316062,0.00486173816
99,1,1.538860104,0.003943015539
100,1,1.554404145,0.003943015539
101,1.745,1.569948187,0.006880562116
102,2,1.585492228,0.007886031079
103,1.518,1.601036269,0.005985497589
104,1.147,1.616580311,0.004522638824
